danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.474,0.535,0,-6.566,1,0.0354,0.626,0.0,0.413,0.324,79.95,audio_features,4Fh1CzvLHIUn26tjbZZ1mR,spotify:track:4Fh1CzvLHIUn26tjbZZ1mR,https://api.spotify.com/v1/tracks/4Fh1CzvLHIUn26tjbZZ1mR,https://api.spotify.com/v1/audio-analysis/4Fh1CzvLHIUn26tjbZZ1mR,355707,4,1
0.506,0.905,1,-6.205,0,0.0811,0.0972,0.839,0.28,0.703,130.149,audio_features,2y98hYBfkZcB5r0FBxyvSn,spotify:track:2y98hYBfkZcB5r0FBxyvSn,https://api.spotify.com/v1/tracks/2y98hYBfkZcB5r0FBxyvSn,https://api.spotify.com/v1/audio-analysis/2y98hYBfkZcB5r0FBxyvSn,167221,4,3
0.679,0.834,5,-3.223,1,0.032,0.343,5.74e-06,0.119,0.962,139.996,audio_features,3wJHCry960drNlAUGrJLmz,spotify:track:3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/tracks/3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/audio-analysis/3wJHCry960drNlAUGrJLmz,198971,4,4
0.668,0.814,8,-3.732,1,0.0287,0.109,0.0,0.119,0.584,99.98,audio_features,2cBAc8f0ueFKSXGQRJRsyN,spotify:track:2cBAc8f0ueFKSXGQRJRsyN,https://api.spotify.com/v1/tracks/2cBAc8f0ueFKSXGQRJRsyN,https://api.spotify.com/v1/audio-analysis/2cBAc8f0ueFKSXGQRJRsyN,218853,4,2
0.422,0.924,2,-3.43,1,0.114,0.152,0.0,0.165,0.544,180.076,audio_features,5uJOkhUYFa6kkDrlEmZk3D,spotify:track:5uJOkhUYFa6kkDrlEmZk3D,https://api.spotify.com/v1/tracks/5uJOkhUYFa6kkDrlEmZk3D,https://api.spotify.com/v1/audio-analysis/5uJOkhUYFa6kkDrlEmZk3D,239762,4,0
0.439,0.708,7,-3.825,1,0.0528,0.0129,0.0,0.147,0.454,160.027,audio_features,0tnhoHUrHfcLi9hPknUFZ4,spotify:track:0tnhoHUrHfcLi9hPknUFZ4,https://api.spotify.com/v1/tracks/0tnhoHUrHfcLi9hPknUFZ4,https://api.spotify.com/v1/audio-analysis/0tnhoHUrHfcLi9hPknUFZ4,321307,4,0
0.611,0.806,7,-2.916,0,0.0361,0.0369,0.0,0.341,0.602,130.005,audio_features,5uYnVpwOGOaiXTJmhNd62P,spotify:track:5uYnVpwOGOaiXTJmhNd62P,https://api.spotify.com/v1/tracks/5uYnVpwOGOaiXTJmhNd62P,https://api.spotify.com/v1/audio-analysis/5uYnVpwOGOaiXTJmhNd62P,242495,4,4
0.74,0.892,0,-2.515,0,0.0492,0.148,0.0,0.0847,0.938,115.933,audio_features,5znJrB6cvS8lffgUFnNETf,spotify:track:5znJrB6cvS8lffgUFnNETf,https://api.spotify.com/v1/tracks/5znJrB6cvS8lffgUFnNETf,https://api.spotify.com/v1/audio-analysis/5znJrB6cvS8lffgUFnNETf,246293,4,4
0.502,0.872,4,-3.449,1,0.0421,0.0107,0.0,0.313,0.808,134.047,audio_features,6NAtVhZ5LrvoKy2Gijr5gj,spotify:track:6NAtVhZ5LrvoKy2Gijr5gj,https://api.spotify.com/v1/tracks/6NAtVhZ5LrvoKy2Gijr5gj,https://api.spotify.com/v1/audio-analysis/6NAtVhZ5LrvoKy2Gijr5gj,213640,4,3
0.95,0.437,8,-6.505,1,0.0538,0.571,1.23e-06,0.0641,0.934,119.974,audio_features,3PPiVAQnUOQ2w0EcpxJhIK,spotify:track:3PPiVAQnUOQ2w0EcpxJhIK,https://api.spotify.com/v1/tracks/3PPiVAQnUOQ2w0EcpxJhIK,https://api.spotify.com/v1/audio-analysis/3PPiVAQnUOQ2w0EcpxJhIK,250160,4,1
0.682,0.669,2,-4.741,1,0.0275,0.283,1e-06,0.145,0.831,81.999,audio_features,465JzFiajJO59sUrDFsxdC,spotify:track:465JzFiajJO59sUrDFsxdC,https://api.spotify.com/v1/tracks/465JzFiajJO59sUrDFsxdC,https://api.spotify.com/v1/audio-analysis/465JzFiajJO59sUrDFsxdC,271440,4,2
